Year,Company,Person,Project,Person Type,Project Url,Technology,Topic,Gender
2017,ReactOS,gigaherz,ReactOS App Manager - 2017 - Google Summer of Code Archive,mentor,https://reactos.org/blogs/rapps-enchancements-gsoc-2017-edition-final-report,c,operating systems,male
2017,Python Software Foundation,Vaibhav Gupta (vg3095),Reading Simulation from file - 2017 - Google Summer of Code Archive,student,https://github.com/vg3095/gsoc_report/blob/master/README.md,python,hardware,female
2017,Python Software Foundation,wkerzendorf,Reading Simulation from file - 2017 - Google Summer of Code Archive,mentor,https://github.com/vg3095/gsoc_report/blob/master/README.md,python,hardware,male
2017,Python Software Foundation,Talytha Barbosa,Reading Simulation from file - 2017 - Google Summer of Code Archive,mentor,https://github.com/vg3095/gsoc_report/blob/master/README.md,python,hardware,female
2017,Python Software Foundation,Ulrich Na¶bauer,Reading Simulation from file - 2017 - Google Summer of Code Archive,mentor,https://github.com/vg3095/gsoc_report/blob/master/README.md,python,hardware,female
2017,Python Software Foundation,Christian Vogl,Reading Simulation from file - 2017 - Google Summer of Code Archive,mentor,https://github.com/vg3095/gsoc_report/blob/master/README.md,python,hardware,male
2017,Institute for Artificial Intelligence,Marcel Meier,Realistic Grasping using Unreal Engine - 2017 - Google Summer of Code Archive,student,https://github.com/robcog-iai/RobCoG/tree/grasp-dev,lisp,artificial intelligence,male
2017,Institute for Artificial Intelligence,Gheorghe Lisca,Realistic Grasping using Unreal Engine - 2017 - Google Summer of Code Archive,mentor,https://github.com/robcog-iai/RobCoG/tree/grasp-dev,lisp,artificial intelligence,male
2017,BRL-CAD,Amritpal Singh,Rebar Addon for FreeCAD - 2017 - Google Summer of Code Archive,student,https://github.com/amrit3701/FreeCAD-Reinforcement,c/c++,cad,male
2017,BRL-CAD,Bernd Hahnebach-1,Rebar Addon for FreeCAD - 2017 - Google Summer of Code Archive,mentor,https://github.com/amrit3701/FreeCAD-Reinforcement,c/c++,cad,male
2017,BRL-CAD,Yorik van Havre,Rebar Addon for FreeCAD - 2017 - Google Summer of Code Archive,mentor,https://github.com/amrit3701/FreeCAD-Reinforcement,c/c++,cad,male
2017,The Julia Language,Joel Mason,Rebuilding Interact.jl with WebIO.jl - 2017 - Google Summer of Code Archive,student,https://jobjob.github.io/gsoc2017,julia,graphics,male
2017,The Julia Language,Shashi Gowda,Rebuilding Interact.jl with WebIO.jl - 2017 - Google Summer of Code Archive,mentor,https://jobjob.github.io/gsoc2017,julia,graphics,male
2017,OpenCV,Pau Rodra­guez,Recurrent Neural Networks on tiny-dnn - 2017 - Google Summer of Code Archive,student,https://prlz77.github.io/gsoc2017/,vision,computer vision,female
2017,OpenCV,Taiga Nomi,Recurrent Neural Networks on tiny-dnn - 2017 - Google Summer of Code Archive,mentor,https://prlz77.github.io/gsoc2017/,vision,computer vision,male
2017,OpenCV,Edgar Riba,Recurrent Neural Networks on tiny-dnn - 2017 - Google Summer of Code Archive,mentor,https://prlz77.github.io/gsoc2017/,vision,computer vision,male
2017,The Processing Foundation,Alice Chung,Redesign Friendly Debugger for p5.js - 2017 - Google Summer of Code Archive,student,https://medium.com/@almchung/gsoc17-redesign-friendly-debugger-for-p5-js-cf63a85ae57,java,creative coding,male
2017,The Processing Foundation,Luisa Pereira,Redesign Friendly Debugger for p5.js - 2017 - Google Summer of Code Archive,mentor,https://medium.com/@almchung/gsoc17-redesign-friendly-debugger-for-p5-js-cf63a85ae57,java,creative coding,female
2017,RoboComp,brickbit,Redesign of Learnbot to improve its features and functionalities - 2017 - Google Summer of Code Archive,student,https://github.com/brickbit/web/blob/master/gsoc/2017/brickbit/My%20progress.md,c++,computer vision,female
2017,RoboComp,Marco,Redesign of Learnbot to improve its features and functionalities - 2017 - Google Summer of Code Archive,mentor,https://github.com/brickbit/web/blob/master/gsoc/2017/brickbit/My%20progress.md,c++,computer vision,female
2017,RoboComp,Juan Mario Haut,Redesign of Learnbot to improve its features and functionalities - 2017 - Google Summer of Code Archive,mentor,https://github.com/brickbit/web/blob/master/gsoc/2017/brickbit/My%20progress.md,c++,computer vision,male
2017,Ruby on Rails,Assain K C,Refactor Rails' Cookie Implementation and Improve Signing with Expiry and Purpose - 2017 - Google Summer of Code Archive,student,https://gist.github.com/assain/fed04b9b610b8c190566a1956f523cc1,html,web,male
2017,Ruby on Rails,kaspth,Refactor Rails' Cookie Implementation and Improve Signing with Expiry and Purpose - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/assain/fed04b9b610b8c190566a1956f523cc1,html,web,male
2017,Catrobat,Thomas Hirsch,Refactoring – Reimplementing all UI tests in Espresso - 2017 - Google Summer of Code Archive,student,https://coffeeclstrfck.wordpress.com/2017/08/19/gsoc17-catroid-ui-test-refactoring/,android,education,female
2017,Catrobat,Amix,Refactoring – Reimplementing all UI tests in Espresso - 2017 - Google Summer of Code Archive,mentor,https://coffeeclstrfck.wordpress.com/2017/08/19/gsoc17-catroid-ui-test-refactoring/,android,education,male
